"","year","stock_accumulation","stock_price","bonds","inflation"
"47",1929,-0.053,-0.101,0.056,0.022
"48",1930,-0.296,-0.339,0.065,-0.044
"49",1931,0.177,0.113,0.047,-0.103
"50",1932,0.248,0.199,0.039,-0.051
"51",1933,0.256,0.211,0.036,-0.041
"52",1934,0.232,0.191,0.033,0.028
"53",1935,0.101,0.062,0.037,0.014
"54",1936,0.198,0.154,0.04,0.014
"55",1937,0.024,-0.017,0.037,0.04
"56",1938,-0.005,-0.051,0.039,0.026
"57",1939,0.053,0.002,0.038,0.025
"58",1940,0.035,-0.017,0.031,0.037
"59",1941,-0.055,-0.101,0.033,0.047
"60",1942,0.184,0.124,0.032,0.09
"61",1943,0.089,0.045,0.032,0.041
"62",1944,0.08,0.036,0.032,-0.01
"63",1945,0.141,0.096,0.033,0
"64",1946,0.133,0.092,0.032,0.02
"65",1947,0.166,0.127,0.032,0.039
"66",1948,0.024,-0.011,0.031,0.104
"67",1949,0.081,0.04,0.031,0.088
"68",1950,0.314,0.267,0.032,0.108
"69",1951,-0.046,-0.083,0.038,0.256
"70",1952,-0.133,-0.175,0.045,0.097
"71",1953,0.13,0.077,0.044,0.018
"72",1954,0.186,0.131,0.045,0.009
"73",1955,0.103,0.047,0.045,0.034
"74",1956,0.077,0.017,0.051,0.067
"75",1957,0.167,0.105,0.05,0.008
"76",1958,0.189,0.129,0.049,0.016
"77",1959,0.443,0.381,0.048,0.023
"78",1960,-0.062,-0.099,0.053,0.045
"79",1961,0.116,0.066,0.049,0.007
"80",1962,0.042,-0.001,0.047,0
"81",1963,0.266,0.216,0.043,0.007
"82",1964,0.044,0.005,0.048,0.035
"83",1965,-0.082,-0.121,0.052,0.041
"84",1966,0.067,0.021,0.05,0.026
"85",1967,0.425,0.369,0.051,0.032
"86",1968,0.348,0.307,0.049,0.025
"87",1969,0.101,0.069,0.056,0.03
"88",1970,-0.137,-0.167,0.064,0.047
"89",1971,-0.061,-0.098,0.057,0.073
"90",1972,0.364,0.318,0.053,0.047
"91",1973,-0.258,-0.287,0.081,0.129
"92",1974,-0.262,-0.309,0.092,0.163
"93",1975,0.546,0.454,0.1,0.144
"94",1976,0.036,-0.02,0.104,0.142
"95",1977,0.132,0.066,0.095,0.093
"96",1978,0.243,0.176,0.088,0.077
"97",1979,0.39,0.32,0.101,0.101
"98",1980,0.523,0.458,0.126,0.092
"99",1981,-0.108,-0.144,0.15,0.113
"100",1982,-0.153,-0.197,0.14,0.11
"101",1983,0.637,0.566,0.135,0.086
"102",1984,0.005,-0.037,0.134,0.026
"103",1985,0.421,0.364,0.149,0.082
"104",1986,0.511,0.457,0.134,0.098
"105",1987,-0.096,-0.121,0.129,0.071
"106",1988,0.211,0.161,0.13,0.076
"107",1989,0.179,0.113,0.129,0.078
"108",1990,-0.153,-0.201,0.121,0.069
